28.30600,0.03585,0.04012,-0.00901,1.99493
28.30800,0.04538,0.04596,-0.01248,1.90922
28.30800,0.05254,0.04818,-0.01556,1.84400
28.31000,0.05295,0.04851,-0.01569,1.84342
28.31000,0.05254,0.04719,-0.01578,1.83227
28.31200,0.04826,0.04374,-0.01441,1.83724
28.31200,0.04259,0.03955,-0.01251,1.85135
28.31400,0.03930,0.03650,-0.01154,1.85154
28.31400,0.03198,0.03264,-0.00874,1.91506
28.31600,0.02401,0.02820,-0.00574,2.04618
28.31600,0.01611,0.02335,-0.00287,2.40446
28.31800,0.00691,0.02072,0.00115,-0.49999
28.31800,-0.00428,0.01036,0.00444,1.24074
28.32000,-0.01875,0.00411,0.01029,1.45559
28.32000,-0.02911,-0.00107,0.01432,1.50830
28.32200,-0.03470,-0.00280,0.01673,1.51857
28.32200,-0.03576,-0.00173,0.01750,1.51096
28.32400,-0.03338,0.00197,0.01713,1.48720
28.32400,-0.02861,0.00526,0.01548,1.46222
28.32600,-0.02023,0.00691,0.01165,1.43412
28.32600,-0.01447,0.01422,0.01040,1.34798
28.32800,-0.00584,0.01817,0.00696,1.20978
28.32800,0.00329,0.02162,0.00316,0.73988
28.33000,0.01258,0.02565,-0.00059,6.33725
28.33000,0.01455,0.03256,-0.00004,89.51338
28.33200,0.03601,0.03996,-0.00913,1.98649
28.33200,0.04506,0.04604,-0.01230,1.91605
28.33400,0.04925,0.05147,-0.01319,1.93367
28.33400,0.05295,0.04859,-0.01568,1.84441
28.33600,0.05196,0.04686,-0.01557,1.83451
28.33600,0.04884,0.04358,-0.01474,1.82858
28.33800,0.04399,0.04078,-0.01293,1.85041
28.33800,0.03782,0.03535,-0.01105,1.85537
28.34000,0.03009,0.03157,-0.00803,1.93686
28.34000,0.02171,0.02746,-0.00475,2.14231
28.34200,0.01381,0.02508,-0.00133,3.58905
28.34200,0.00247,0.01685,0.00251,0.75455
28.34400,-0.00946,0.01118,0.00721,1.32774
28.34400,-0.02154,0.00345,0.01154,1.46675
28.34600,-0.03206,0.00066,0.01618,1.49548
28.34600,-0.03667,-0.00304,0.01766,1.51914
28.34800,-0.03716,-0.00255,0.01801,1.51572
28.34800,-0.03396,0.00115,0.01723,1.49258
28.35000,-0.02828,0.00337,0.01489,1.47485
28.35000,-0.02097,0.00913,0.01251,1.41895
28.35200,-0.02039,0.01431,0.01337,1.38115
28.35200,-0.00617,0.01702,0.00687,1.22455
28.35400,-0.00140,0.01842,0.00479,1.07293
28.35400,0.00847,0.02664,0.00169,-0.25609
28.35600,0.01628,0.03305,-0.00079,6.12073
28.35600,0.03001,0.04045,-0.00602,2.24715
28.35800,0.04127,0.04341,-0.01099,1.93890
28.35800,0.04982,0.04900,-0.01402,1.88827
28.36000,0.05213,0.04867,-0.01525,1.85470
28.36000,0.05278,0.04645,-0.01607,1.82121
28.36200,0.04950,0.04456,-0.01484,1.83354
28.36200,0.04316,0.03930,-0.01285,1.83985
28.36400,0.03601,0.03453,-0.01033,1.87135
28.36400,0.02894,0.03075,-0.00764,1.94737
28.36600,0.02006,0.02861,-0.00367,2.36567
28.36600,0.01036,0.02245,-0.00019,14.50030
28.36800,0.00016,0.01644,0.00357,0.98849
28.36800,-0.00148,0.01019,0.00301,1.12310
28.37000,-0.02368,0.00863,0.01376,1.43028
28.37000,-0.03157,-0.00074,0.01562,1.50526
28.37200,-0.03437,-0.00304,0.01651,1.52048
28.37200,-0.03585,-0.00123,0.01765,1.50776
28.37400,-0.03264,-0.00197,0.01588,1.51381
28.37400,-0.02976,0.00526,0.01605,1.46357
28.37600,-0.02351,0.00921,0.01380,1.42588
28.37600,-0.01562,0.01389,0.01090,1.35834
28.37800,-0.00707,0.01661,0.00723,1.24463
28.37800,0.00066,0.02171,0.00449,0.96341
28.38000,0.01003,0.02705,0.00100,-1.51834
28.38000,0.02006,0.03404,-0.00247,3.03334
28.38200,0.03330,0.03716,-0.00839,1.99211
28.38200,0.04571,0.04695,-0.01242,1.91985
28.38400,0.05097,0.04884,-0.01463,1.87079
28.38400,0.05393,0.04966,-0.01593,1.84633
28.38600,0.05319,0.04826,-0.01587,1.83784
28.38600,0.04876,0.04423,-0.01455,1.83783
28.38800,0.04218,0.04062,-0.01206,1.87410
28.38800,0.03544,0.03519,-0.00990,1.89502
28.39000,0.03272,0.03297,-0.00903,1.90546
28.39000,0.02458,0.02730,-0.00623,1.98716
28.39200,0.01661,0.02401,-0.00297,2.39846
28.39200,0.00707,0.01694,0.00023,-6.73989
28.39400,-0.00115,0.01200,0.00324,1.08873
28.39400,-0.01636,0.00296,0.00884,1.46279
28.39600,-0.02828,-0.00148,0.01381,1.51190
28.39600,-0.03404,-0.00329,0.01629,1.52243
28.39800,-0.03700,0.00345,0.01927,1.48009
28.39800,-0.03420,0.00181,0.01750,1.48852
28.40000,-0.02878,0.00502,0.01550,1.46405
